Unnamed: 0,Timestamp (UTC),PM2.5 (ug/m3),Temperature (Celsius),Relative Humidity (%)
209,5/6/2023 17:00,6.5,28.275,82.0
210,5/6/2023 18:00,5.25,28.425,80.25
211,5/6/2023 19:00,6.0,28.05,81.25
212,5/6/2023 20:00,7.666666667,28.03333333,83.0
213,5/6/2023 21:00,6.0,27.275,82.75
214,5/6/2023 22:00,3.5,26.4,84.25
215,5/6/2023 23:00,3.0,26.8,82.5
216,5/7/2023 0:00,4.0,26.7,81.25
217,5/7/2023 1:00,5.0,27.125,81.25
218,5/7/2023 2:00,6.333333333,28.76666667,77.33333333
219,5/7/2023 3:00,7.25,29.8,75.25
220,5/7/2023 4:00,8.333333333,30.73333333,74.0
221,5/7/2023 5:00,7.5,31.65,71.0
222,5/7/2023 6:00,6.0,32.825,67.0
223,5/7/2023 7:00,7.25,32.8,69.0
224,5/7/2023 8:00,8.0,32.925,70.75
225,5/7/2023 9:00,7.0,32.875,69.25
226,5/7/2023 10:00,5.5,32.375,67.75
227,5/7/2023 11:00,6.0,31.925,69.5
228,5/7/2023 12:00,5.25,31.1,70.75
229,5/7/2023 13:00,6.25,30.575,72.0
230,5/7/2023 14:00,7.0,30.025,74.5
231,5/7/2023 15:00,7.75,29.725,76.75
232,5/7/2023 16:00,8.5,29.45,78.25
233,5/7/2023 17:00,9.5,29.3,79.0
234,5/7/2023 18:00,10.75,29.2,79.75
235,5/7/2023 19:00,11.0,29.225,80.25
236,5/7/2023 20:00,10.0,29.25,81.0
237,5/7/2023 21:00,4.25,28.5,76.25
238,5/7/2023 22:00,5.0,27.425,78.5
239,5/7/2023 23:00,2.75,27.575,75.75
240,5/8/2023 0:00,5.0,27.73333333,77.0
241,5/8/2023 1:00,6.25,28.0,77.0
242,5/8/2023 2:00,9.0,30.325,70.5
243,5/8/2023 3:00,6.0,31.2,67.66666667
244,5/8/2023 4:00,5.25,30.0,72.0
245,5/8/2023 5:00,6.0,31.075,71.0
246,5/8/2023 6:00,6.75,33.05,68.75
247,5/8/2023 7:00,7.0,35.075,63.75
248,5/8/2023 8:00,6.75,36.5,62.5
249,5/8/2023 9:00,7.0,36.825,60.75
250,5/8/2023 10:00,,,
251,5/8/2023 11:00,,,
252,5/8/2023 12:00,,,
253,5/8/2023 13:00,,,
254,5/8/2023 14:00,,,
255,5/8/2023 15:00,,,
256,5/8/2023 16:00,,,
257,5/8/2023 17:00,,,
258,5/8/2023 18:00,,,
259,5/8/2023 19:00,,,
260,5/8/2023 20:00,,,
261,5/8/2023 21:00,,,
262,5/8/2023 22:00,,,
263,5/8/2023 23:00,,,
264,5/9/2023 0:00,,,
265,5/9/2023 1:00,,,
266,5/9/2023 2:00,10.66666667,33.2,72.0
267,5/9/2023 3:00,10.25,33.5,71.25
268,5/9/2023 4:00,11.25,33.875,68.25
269,5/9/2023 5:00,10.5,33.575,70.5
270,5/9/2023 6:00,,,
271,5/9/2023 7:00,9.5,36.9,64.75
272,5/9/2023 8:00,7.5,37.05,56.25
273,5/9/2023 9:00,7.75,38.25,53.5
274,5/9/2023 10:00,9.5,39.775,52.5
275,5/9/2023 11:00,10.75,38.375,57.25
276,5/9/2023 12:00,10.5,36.25,61.25
